       Time_s           01           02           03           04           05
   5.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   5.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   5.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   5.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   6.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   7.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   7.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   7.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1997E+00
   7.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   7.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   7.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   7.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   7.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   7.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   7.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
